adult_no,child_no,weekend_nights_no,weekday_nights_no,lead_time,avg_price_per_room,special_requests_no,month,prev_show_rate,canceled
2,0,2,3,46,69,2,12,0.5,0
2,0,0,1,244,98.4,2,9,0.5,1
2,0,0,3,37,105,0,10,0.5,0
1,0,0,1,16,80,0,1,0.5,0
2,0,2,1,41,85.67,0,3,0.5,0
1,0,2,2,56,185,0,9,0.5,0
2,0,1,2,31,126.9,1,5,0.5,0
2,0,1,1,15,107.5,0,12,0.5,0
0,2,0,3,13,77.25,0,1,0.5,0
1,0,0,2,164,100,0,10,0.5,0
2,1,4,6,118,113.33,2,6,0.5,0
2,0,0,2,148,115.2,1,6,0.5,1
2,0,2,1,24,149,1,10,0.5,0
2,0,1,3,154,71.6,0,5,0.5,1
1,0,2,4,12,154.33,0,4,0.5,1
1,0,0,1,8,119,0,5,0.5,0
2,0,2,2,204,72.75,0,10,0.5,0
3,0,0,4,29,119.77,2,4,0.5,0
2,0,2,0,386,115,1,10,0.5,1
1,0,1,0,10,79,0,3,0.5,1
1,0,0,3,37,95,0,10,0.5,0
2,0,0,3,44,75,0,2,0.5,0
1,0,0,2,37,109,1,10,0.5,0
2,0,2,1,99,89.25,3,10,0.5,0
2,0,0,3,274,107,2,8,0.5,1
2,0,0,3,178,88.77,0,8,0.5,1
2,0,0,4,54,109.8,3,8,0.5,0
2,0,2,1,271,71.64,0,12,0.5,0
2,0,0,2,154,118.8,1,10,0.5,1
2,0,0,3,1,82,1,3,0.5,0
2,0,2,1,18,97,0,12,0.5,0
2,0,1,4,48,78.54,1,10,0.5,0
2,0,0,1,18,156,0,6,0.5,1
3,0,0,1,19,167,0,4,0.5,1
3,0,1,1,171,137.7,0,8,0.5,1
1,0,0,2,7,86,0,2,0.5,0
2,0,1,3,73,69.7,1,3,0.5,0
2,0,0,1,13,100,1,9,0.5,1
2,0,0,3,52,126.9,0,5,0.5,1
3,0,2,3,151,122.76,0,10,0.5,1
2,1,1,5,4,134.17,2,8,0.5,1
1,0,2,2,109,68,0,8,0.5,0
2,0,1,3,164,99.45,0,5,0.5,1
1,0,0,2,77,113.4,0,10,0.5,1
2,0,0,3,2,79.5,1,12,0.5,0
1,0,0,2,12,71,0,1,0.5,0
3,0,1,3,5,228.8,0,8,0.5,1
2,0,1,2,128,114.3,0,8,0.5,1
2,0,2,5,182,96.94,1,3,0.5,1
2,0,0,1,50,79.2,1,11,0.5,0
1,0,0,1,9,95,0,10,0.5,0
2,1,0,3,2,117.5,1,12,0.5,0
2,0,0,3,61,87.3,0,3,0.5,1
2,0,0,2,257,101.5,0,7,0.5,1
3,0,2,1,223,128.7,2,10,0.5,1
2,0,0,2,320,115,1,8,0.5,1
1,0,0,1,1,90,0,3,0.5,0
2,0,1,2,193,120,0,6,0.5,1
1,0,0,1,0,65,1,3,1,0
2,0,0,1,8,72.07,1,2,0.5,0
2,1,0,3,113,121.5,0,7,0.5,0
2,0,1,3,56,88.4,0,12,0.5,1
2,0,0,4,95,95.2,1,4,0.5,0
2,0,1,3,6,66.3,0,12,0.5,0
2,0,0,3,188,80.75,0,6,0.5,0
1,0,0,1,3,159,0,5,1,0
2,0,0,3,271,101.33,1,9,0.5,1
2,0,2,0,43,90.9,0,2,0.5,1
1,0,0,2,112,131.4,0,8,0.5,1
2,0,1,1,24,139,2,8,0.5,0
1,0,2,2,115,76,0,2,0.5,0
2,0,2,1,65,80.75,1,10,0.5,0
2,0,0,3,56,76.92,1,6,0.5,0
2,0,0,1,22,122,3,8,0.5,0
2,0,0,3,141,103.5,1,7,0.5,0
2,0,1,2,170,105.3,0,8,0.5,1
2,0,2,1,195,108.9,2,10,0.5,1
2,0,0,4,76,80.75,0,4,0.5,1
2,0,0,2,35,113.4,1,6,0.5,0
2,0,0,1,45,76.5,0,7,0.5,0
2,0,1,3,60,123.98,1,9,0.5,1
2,0,0,3,105,75,0,10,0.5,0
2,1,2,2,92,89.55,0,9,0.5,0
2,0,1,0,18,80,0,12,0.5,0
2,0,1,2,55,116.1,1,5,0.5,1
2,0,0,3,37,105,0,10,0.5,0
2,0,0,2,29,152,2,10,0.5,0
2,0,0,5,108,120.6,0,8,0.5,1
2,0,1,2,309,101,0,5,0.5,1
1,0,0,1,55,92,0,4,0.5,0
2,0,1,5,17,125.33,0,12,0.5,0
1,0,2,1,31,114.3,1,10,0.5,1
2,0,1,0,263,67,0,9,0.5,0
1,0,0,1,59,80,0,1,0.5,0
2,0,2,2,100,80.75,1,4,0.5,0
2,0,0,2,5,109,1,6,0.5,1
2,0,0,2,3,169,1,9,0.5,0
2,0,1,2,6,87,0,12,0.5,0
2,0,0,2,72,108,1,10,0.5,1
2,0,0,1,67,125.1,1,8,0.5,0
3,0,0,1,33,146.7,2,4,0.5,0
1,0,1,2,7,67,0,5,0.92,0
2,0,1,0,0,216,0,8,0.5,1
2,1,2,0,11,159,3,5,0.5,0
2,0,2,6,55,85.5,0,8,0.5,0
3,0,0,3,7,86.78,1,1,0.5,0
2,0,2,5,109,74.89,0,4,0.5,0
2,0,2,0,146,95,0,4,0.5,1
2,0,4,10,204,119.85,1,9,0.5,1
2,0,2,1,145,65,0,1,0.5,0
1,0,1,0,3,115.5,1,10,0.5,0
2,0,2,1,23,109,1,1,0.5,0
2,0,2,1,96,94.5,0,7,0.5,0
1,0,2,1,1,60,0,2,0.5,1
2,0,1,2,45,112.5,2,3,0.5,0
2,0,0,1,42,109,2,10,0.5,0
1,0,0,1,101,63.75,1,12,0.5,1
1,0,1,2,38,117,1,10,0.5,0
2,0,0,1,17,65.1,1,11,0.5,0
2,0,0,4,15,139,1,8,0.5,0
2,0,0,1,105,75,0,4,0.5,1
2,0,2,3,40,64.15,0,12,0.5,0
1,0,0,2,32,73,0,11,0.5,0
2,0,2,1,96,63.75,0,8,0.5,0
2,0,1,2,70,79.5,1,10,0.5,0
2,0,2,0,386,115,1,10,0.5,1
2,0,1,1,45,71.1,0,3,0.5,1
2,0,0,2,377,115,1,10,0.5,1
2,0,0,3,165,112.8,1,8,0.5,1
2,0,0,2,160,128.35,1,5,0.5,1
2,0,2,4,237,81.5,1,7,0.5,0
2,0,1,2,96,94.67,2,11,0.5,0
2,0,1,2,338,90.67,1,10,0.5,0
2,0,2,1,62,135.9,0,9,0.5,1
2,0,0,4,77,95.7,2,3,0.5,1
2,0,2,0,24,94.35,3,6,0.5,0
2,0,0,1,55,104,0,4,0.5,0
2,0,2,2,155,85,1,11,0.5,1
2,0,0,1,71,116.1,0,6,0.5,1
2,0,1,1,180,88.77,0,8,0.5,1
2,0,0,4,104,83.12,1,7,0.5,0
2,0,0,2,64,140,0,5,0.5,1
1,0,2,1,1,60,0,2,0.5,1
2,0,0,2,185,122.4,1,10,0.5,1
1,0,0,2,286,91,0,9,0.5,0
2,0,2,9,106,110.77,0,3,0.5,1
2,0,1,1,26,145,1,10,0.5,0
2,0,0,3,65,89.1,0,6,0.5,1
2,2,2,3,67,106.25,0,7,0.5,0
2,0,1,1,62,140.4,0,4,0.5,1
1,0,0,2,14,67.76,1,12,0.5,0
3,0,0,5,5,229.46,0,10,0.5,1
1,0,2,0,6,99,2,5,0.5,0
2,0,0,3,11,160,0,5,0.5,0
2,0,1,4,112,76.97,0,4,0.5,0
2,0,2,1,124,163.8,4,9,0.5,0
2,0,0,3,42,115.8,1,3,0.5,0
2,0,2,2,9,87,1,2,0.5,0
2,0,1,2,79,60,0,12,0.5,0
1,0,1,0,1,103.18,1,10,0.5,0
1,0,1,4,144,80.75,0,6,0.5,1
2,0,2,3,54,88.4,1,11,0.5,1
2,0,0,3,116,105.3,0,5,0.5,1
3,0,0,4,40,145.35,1,3,0.5,1
2,0,0,3,4,95,0,10,0.5,0
2,0,2,3,276,61,0,5,0.5,1
2,0,0,3,70,126.9,0,6,0.5,0
1,0,0,1,221,73,0,8,0.5,0
2,0,1,3,5,58,0,12,0.5,0
1,0,2,1,4,110,0,9,0.5,0
3,0,0,2,111,155.7,2,8,0.5,0
1,0,1,1,18,88.8,0,5,0.5,0
2,0,0,1,31,126.9,0,3,0.5,1
2,0,0,4,255,84.43,1,10,0.5,1
1,0,1,1,34,56.16,0,12,0.5,0
2,0,0,3,89,76.5,0,3,0.5,0
2,2,0,2,7,241,2,5,0.5,0
1,0,0,1,29,66,0,2,0.5,0
2,0,3,6,111,72.25,0,7,0.5,0
2,0,0,2,111,105.3,1,7,0.5,0
2,0,2,1,20,85,0,9,0.5,0
2,0,1,4,336,78,0,9,0.5,0
2,0,1,2,189,96.3,3,10,0.5,0
2,0,0,3,213,130,0,6,0.5,1
1,0,0,2,13,129,2,8,0.5,0
2,0,1,1,40,70,0,10,0.5,0
2,0,2,1,46,107.1,0,4,0.5,0
2,0,2,1,117,94.5,0,8,0.5,1
3,0,1,3,80,121.55,3,4,0.5,0
2,1,0,1,5,143.5,1,4,0.5,1
2,0,0,1,83,105.3,1,7,0.5,0
2,0,0,3,37,153,3,10,0.5,0
2,0,2,5,157,78.45,1,7,0.5,0
1,0,1,0,111,120,0,10,0.5,1
0,2,2,4,296,65.29,0,10,0.5,1
2,0,2,0,5,100,0,9,0,0
1,0,2,0,141,111.15,1,6,0.5,0
2,0,0,2,346,115,1,9,0.5,1
2,0,0,3,211,77.03,0,8,0.5,1
2,2,1,1,58,180.9,2,6,0.5,0
2,0,2,2,2,81.75,1,5,0.5,0
2,0,2,5,10,85,0,8,0.5,0
3,0,2,3,6,161,0,3,0.5,1
1,0,2,2,34,139.5,1,10,0.5,1
2,0,1,2,86,65,1,5,0.5,0
2,0,0,1,11,68.53,1,4,0.5,0
2,0,1,2,115,136.1,1,6,0.5,0
2,0,0,3,304,89,0,11,0.5,1
2,0,1,0,165,94.5,0,7,0.5,1
2,0,0,3,5,96,1,12,0.5,0
1,0,0,2,31,65,0,12,1,0
3,0,0,2,0,157,1,6,0.5,0
1,0,0,2,192,95,0,6,0.5,0
1,0,1,1,247,90,0,6,0.5,0
2,0,1,4,57,141.84,2,9,0.5,0
1,0,2,1,17,69.49,1,9,0.5,0
2,0,0,4,228,102.85,1,10,0.5,1
2,0,1,2,133,84.33,1,3,0.5,0
2,0,0,1,0,0,1,3,0.5,0
3,0,1,1,95,126,1,11,0.5,1
2,0,2,3,108,97,1,12,0.5,1
2,2,1,2,29,183.67,1,12,0.5,0
2,0,0,2,64,158.4,1,9,0.5,0
2,0,2,2,35,98.1,0,5,0.5,1
2,0,0,1,36,81.9,2,3,0.5,0
2,1,0,1,4,97.41,0,8,0.5,0
2,0,0,3,213,130,0,6,0.5,1
1,0,2,1,93,115,0,10,0.5,1
1,0,1,1,14,137.16,1,11,0.5,0
2,0,0,1,139,85.5,0,7,0.5,1
2,0,0,2,7,119,1,4,0.5,0
2,0,2,1,145,65,0,1,0.5,0
1,0,2,5,1,148.04,0,5,0.5,1
2,0,1,2,57,85,0,8,0.5,0
2,0,0,2,23,88,2,11,0.5,0
1,0,0,2,68,73.9,0,3,0.5,0
2,0,0,1,100,108,0,10,0.5,1
2,0,0,2,292,115,0,7,0.5,1
2,0,1,4,1,100.47,0,12,0.5,0
2,0,0,1,0,116.45,0,6,0.5,0
2,0,0,2,167,105.3,2,8,0.5,1
2,1,1,4,73,135,1,10,0.5,1
2,0,2,2,73,59.5,0,3,0.5,0
2,0,0,1,2,79,1,2,0.5,1
2,0,0,1,18,111,0,6,0.5,1
2,0,2,4,165,72.25,2,7,0.5,0
2,0,0,1,43,126.9,0,4,0.5,1
2,0,1,5,75,67.83,0,10,0.5,0
2,0,0,2,43,85.5,0,10,0.5,0
2,0,2,3,33,57.92,1,9,0.5,0
2,0,1,2,141,132,0,6,0.5,0
2,0,0,2,245,75,0,6,0.5,1
2,0,1,2,17,144,0,2,0.5,0
2,0,0,4,84,105.4,1,4,0.5,0
2,0,2,4,132,102.28,0,7,0.5,1
1,0,0,2,164,100,0,10,0.5,0
2,0,1,2,280,110,0,9,0.5,1
2,0,1,2,75,69.53,0,3,0.5,0
2,1,0,1,1,155,2,5,0.5,0
2,0,1,3,94,123.3,0,7,0.5,0
1,0,2,1,94,111.33,1,10,0.5,0
2,0,0,2,188,105.5,1,10,0.5,1
2,0,2,2,297,90.95,0,10,0.5,1
2,0,1,3,74,99.45,1,3,0.5,0
2,0,2,5,14,132,2,9,0.5,0
2,0,2,2,250,84.15,2,12,0.5,1
2,0,1,2,95,72,0,2,0.5,0
2,0,0,3,36,112,0,10,0.5,0
1,0,0,3,335,80,0,10,0.5,0
2,0,0,2,102,101.5,0,10,0.5,1
2,0,2,3,93,85.5,1,8,0.5,1
3,0,1,3,106,139.95,2,7,0.5,0
2,0,2,3,16,154.4,1,9,0.5,1
3,0,2,1,11,138.5,1,8,0.5,0
3,0,0,1,182,128.7,2,7,0.5,1
1,0,0,1,0,92.5,0,6,1,0
2,0,1,2,107,174.6,0,6,0.5,1
2,0,2,3,39,165.06,1,8,0.5,1
2,0,0,3,68,135.9,1,5,0.5,0
1,0,0,1,4,159,0,9,0.5,0
2,0,0,1,0,0,1,12,0.8,0
2,0,2,4,157,107.29,0,7,0.5,1
3,0,1,2,161,130,0,3,0.5,1
2,0,1,2,43,68,0,3,0.5,0
2,0,0,3,37,96.3,1,10,0.5,0
0,2,2,3,108,120,1,3,0.5,0
2,0,0,2,39,101.5,0,8,0.5,0
1,0,0,1,26,120.12,1,5,0.5,0
2,0,1,2,63,105.3,1,4,0.5,1
2,0,1,0,59,89.1,1,6,0.5,0
2,0,1,0,104,108,1,10,0.5,1
2,0,1,3,60,65,1,10,0.5,0
2,0,0,2,100,123.3,1,7,0.5,0
2,0,0,3,36,85,0,10,0.5,0
2,0,0,3,19,90,0,10,0,0
2,0,2,1,25,109,2,5,0.5,0
1,0,0,2,188,130,0,6,0.5,1
0,2,2,5,179,121.01,0,9,0.5,1
2,0,2,0,386,115,1,10,0.5,1
2,0,1,2,205,126.9,2,9,0.5,1
2,0,0,3,73,82.69,1,4,0.5,0
2,0,2,1,11,87,1,11,0.5,0
2,0,0,4,36,168.73,0,12,0.5,0
1,0,2,3,36,110,0,9,0.5,0
2,0,1,2,0,66.13,0,9,0.5,0
2,0,0,3,76,76.5,2,7,0.5,0
2,0,1,1,14,115,0,9,0.5,0
3,0,1,3,86,137.7,2,7,0.5,0
2,1,1,2,91,140.4,0,5,0.5,1
2,0,2,3,41,74.4,0,9,0.5,0
1,0,0,1,4,91,2,11,0.5,0
3,0,2,4,60,137.7,1,7,0.5,0
2,0,1,2,63,60,0,11,0.5,0
2,1,1,3,70,106.25,3,4,0.5,0
2,0,1,3,3,146.5,2,8,0.5,0
2,0,0,1,3,128.8,0,6,0.5,0
2,0,2,2,65,105.3,0,7,0.5,1
2,0,0,2,102,101.5,0,10,0.5,1
2,0,2,1,33,71.84,0,1,0.5,0
2,0,0,3,304,89,0,11,0.5,1
2,0,2,2,122,105.83,2,7,0.5,0
1,0,2,2,115,76,1,2,0.5,0
2,0,0,3,9,131,1,4,0.5,0
2,0,0,2,30,140,0,6,0.5,0
2,0,0,1,19,139,2,9,0.5,0
2,0,0,2,102,109,0,10,0.5,0
2,0,1,3,85,89.7,2,11,0.5,0
2,0,1,2,97,68.65,2,10,0.5,0
2,0,0,2,346,115,1,9,0.5,1
2,0,2,0,5,100,0,9,0,0
2,0,2,3,52,120.7,1,12,0.5,0
1,0,0,1,78,62.18,2,9,0.5,0
2,0,1,2,161,80,0,4,0.5,0
2,0,2,1,2,75,0,8,0.5,0
2,0,2,4,41,86.07,1,1,0.5,0
2,0,2,0,48,100.8,2,4,0.5,0
2,0,0,3,44,157.5,0,8,0.5,1
2,0,2,2,8,176,0,10,0.5,1
2,0,2,2,40,71.1,0,3,0.5,1
2,0,1,4,275,90,0,10,0.5,1
2,0,0,2,245,75,0,6,0.5,1
2,2,0,5,14,185.2,1,9,0.5,0
2,0,0,2,80,88,1,12,0.5,0
2,0,2,1,172,88.7,1,5,0.5,0
2,0,2,2,40,55,1,12,0.5,0
2,0,2,1,107,119.7,1,8,0.5,0
2,0,1,5,46,72,0,11,0.5,0
1,0,0,1,12,65,0,10,0.5,0
2,0,0,3,16,144.67,2,4,0.5,0
1,0,2,0,386,90,1,10,0.5,1
1,0,0,2,6,120,2,10,0.5,0
2,0,0,2,256,72.25,1,8,0.5,0
2,0,2,2,163,80.75,0,5,0.5,0
3,0,2,4,6,197.12,0,5,0.5,1
2,1,0,2,45,134.1,1,6,0.5,0
1,0,2,4,29,73.42,0,2,0.5,1
2,0,2,5,113,113.05,2,12,0.5,1
1,0,0,2,151,71,0,1,0.5,0
2,0,0,2,8,111.35,1,5,0.5,0
1,0,0,3,73,67.83,0,11,0.5,0
3,0,2,2,212,96.9,1,8,0.5,0
2,0,0,3,58,90.9,1,3,0.5,0
2,0,2,3,225,150.11,0,12,0.5,0
1,0,1,2,45,143.28,0,11,0.5,0
2,0,0,3,28,97.58,1,9,0.5,0
3,0,1,2,131,137.7,2,8,0.5,0
3,0,2,1,140,131.7,2,7,0.5,0
2,0,2,5,79,56.94,1,3,0.5,0
2,0,2,6,99,80.75,1,4,0.5,0
2,0,1,4,161,94,3,11,0.5,0
2,0,1,3,5,145,1,10,0.5,0
2,0,0,4,1,93,2,2,0.5,0
3,0,1,3,237,134.73,0,10,0.5,1
2,2,2,3,41,208.93,0,9,0.5,1
2,0,0,1,219,108,0,9,0.5,1
2,0,1,0,223,85.5,1,8,0.5,1
1,0,0,1,0,135,0,5,0.5,1
2,0,2,2,1,89.25,2,10,0.5,0
2,1,2,5,197,112.32,2,8,0.5,1
2,0,1,2,66,75,0,10,0.5,1
2,1,2,2,5,196,2,6,0.5,0
2,0,1,2,28,144.8,1,5,0.5,0
2,0,1,2,39,118,0,10,0.5,0
1,0,0,1,3,125,0,4,0.5,0
3,0,1,3,118,96.78,1,10,0.5,0
3,0,0,3,30,150.3,0,3,0.5,1
2,0,1,0,6,89,0,6,0.5,0
2,0,1,3,61,107.1,0,8,0.5,0
2,0,1,1,188,105.3,0,8,0.5,1
1,0,0,3,6,65,0,7,1,0
1,0,0,2,74,87,0,9,0.5,0
2,1,2,0,49,161.1,1,8,0.5,0
2,0,2,3,16,70.72,0,12,0.5,0
2,0,2,1,96,94.5,0,7,0.5,1
2,0,0,2,68,65,0,9,0.5,0
2,0,2,2,40,148.28,2,10,0.5,0
1,0,0,2,6,136,1,10,0.5,0
3,0,0,2,15,177,0,4,0.5,1
2,0,1,1,102,79.2,0,12,0.5,1
3,0,2,5,148,138.14,0,8,0.5,1
2,0,2,1,29,46.67,0,11,0.5,0
2,0,2,0,30,109.1,1,9,0.5,0
2,0,0,3,149,92.03,0,7,0.5,0
2,0,1,2,66,75,0,10,0.5,0
2,1,1,1,6,120,3,2,0.5,0
2,0,2,5,77,140.4,1,8,0.5,0
2,2,0,3,66,135,3,11,0.5,0
2,0,2,1,96,94.5,0,7,0.5,1
1,0,0,2,3,79,1,12,1,0
2,0,0,2,291,115,0,8,0.5,1
2,0,0,3,0,67.58,2,12,0.5,0
2,0,1,4,17,77.25,0,1,0.5,0
2,0,0,1,1,180,0,9,0.5,1
2,0,1,2,28,70.04,1,2,0.5,0
2,0,2,1,65,79.2,1,11,0.5,0
2,0,0,2,86,100,0,9,0.5,0
2,0,1,2,20,108.99,1,10,0.5,0
2,0,0,2,320,115,1,8,0.5,1
2,0,1,2,7,136,2,9,0.5,0
2,1,1,4,20,159,1,7,0.5,0
2,0,0,3,86,90.3,1,4,0.5,0
2,0,0,4,57,85.85,1,3,0.5,0
2,0,0,2,19,96,0,12,0.5,0
3,0,2,4,81,106.95,0,8,0.5,0
2,0,0,3,19,90,0,10,0,0
1,0,0,3,4,65,1,11,1,0
1,0,0,2,6,0,0,12,0,0
2,0,1,1,33,105.3,2,10,0.5,0
1,0,0,2,188,130,0,6,0.5,1
1,0,0,1,14,86,1,3,0.5,0
3,0,0,4,126,195.75,0,8,0.5,1
1,0,0,2,32,73,0,11,0.5,0
2,0,1,3,15,102,2,12,0.5,0
2,0,0,1,144,106.54,1,8,0.5,0
2,0,0,1,24,101,1,6,0.5,0
1,0,0,2,4,88,1,8,0.5,1
1,0,0,2,12,130,0,10,0.5,0
1,0,0,2,192,95,0,6,0.5,0
2,0,0,2,86,105,0,9,0.5,0
2,0,0,3,37,105,0,10,0.5,0
2,0,2,1,69,99.3,1,4,0.5,0
2,0,0,1,0,139,0,8,0.5,0
2,0,2,2,208,80.75,0,7,0.5,1
2,0,0,1,40,126.9,0,5,0.5,0
1,0,1,4,140,82.73,1,5,0.5,0
2,1,1,4,83,106.38,1,10,0.5,0
2,0,2,3,212,78,0,5,0.5,1
3,0,3,9,155,135.01,1,8,0.5,1
2,1,1,0,11,187,2,9,0.5,0
2,0,0,2,3,106,0,12,0.5,0
2,0,0,1,1,101,1,4,0.5,0
1,0,1,1,5,95,0,5,1,0
2,0,2,5,203,85.5,0,10,0.5,1
2,0,2,1,138,94.5,0,8,0.5,1
2,0,0,4,36,96.3,2,10,0.5,0
3,0,2,2,38,196.46,2,5,0.5,0
1,0,2,4,69,120,0,6,0.5,1
2,0,1,3,50,112.2,0,4,0.5,1
3,0,1,1,75,150.3,2,7,0.5,0
2,0,0,2,292,115,0,7,0.5,1
2,0,0,3,117,114.3,0,7,0.5,1
2,0,0,3,58,120,0,4,0.5,1
2,0,1,2,36,109,1,10,0.5,0
2,1,2,2,35,125.1,1,6,0.5,0
1,0,0,2,188,130,0,6,0.5,1
2,0,1,1,131,162,3,8,0.5,0
2,0,0,4,14,125.8,0,12,0.5,0
1,0,2,6,77,80.75,0,4,0.5,1
2,0,2,3,90,51.71,1,3,0.5,0
2,2,2,5,71,203.76,0,4,0.5,1
1,0,0,4,5,114,2,9,0.5,0
1,0,0,3,150,70,0,6,0.5,1
2,0,0,3,112,120,1,6,0.5,0
2,0,2,3,5,116,1,12,0.5,0
2,0,2,3,48,68,0,12,0.5,0
2,0,0,1,30,105.3,1,10,0.5,0
2,0,0,2,256,115,1,6,0.5,1
2,0,1,0,6,108,1,12,0.5,0
2,0,0,2,86,104.4,1,10,0.5,0
2,0,1,0,75,72.25,2,11,0.5,0
2,0,0,3,46,106.8,1,3,0.5,1
2,0,2,1,44,149.4,0,9,0.5,1
2,0,0,2,6,89,0,3,0.5,1
1,0,0,2,74,87,0,9,0.5,0
2,0,0,3,9,133.33,2,6,0.5,0
2,0,0,3,111,60,0,3,0.5,0
2,0,0,2,377,115,1,10,0.5,1
2,0,3,7,18,77.2,0,1,0.5,0
2,0,1,2,231,78.3,2,12,0.5,1
1,0,2,4,7,117,0,12,0.5,0
2,0,0,4,232,91.45,2,12,0.5,0
1,0,0,3,221,115.5,2,9,0.5,1
1,0,2,1,116,61,0,2,0.5,1
1,0,0,3,71,120,0,6,0.5,0
2,0,1,4,40,145.98,1,9,0.5,0
2,0,1,2,324,87.3,0,11,0.5,1
2,0,2,0,7,124,1,4,0.5,0
2,0,1,4,83,79.56,0,7,0.5,0
2,0,0,3,73,102.6,1,11,0.5,0
1,0,0,1,115,99.9,1,7,0.5,0
1,0,0,2,5,110.11,1,9,0.5,0
1,0,0,1,2,45,1,4,0.57,0
2,0,0,3,91,132.3,2,10,0.5,1
2,0,2,2,51,139.28,0,9,0.5,1
1,0,0,1,1,125,0,5,0.5,0
2,0,1,2,107,111.3,1,8,0.5,0
2,0,2,1,48,86.3,1,2,0.5,0
2,0,1,2,19,74.64,0,3,0.5,1
2,0,2,1,134,124.2,0,11,0.5,1
2,0,0,1,31,126.9,0,3,0.5,1
2,0,2,1,28,84.3,2,2,0.5,0
2,0,0,1,160,80.1,0,10,0.5,1
1,0,0,2,107,120,1,6,0.5,0
3,0,1,1,168,159.3,0,9,0.5,1
2,0,0,2,102,109,0,10,0.5,0
3,0,2,5,152,130.05,2,7,0.5,1
2,0,0,1,30,125.1,1,8,0.5,0
2,0,2,8,200,129.54,0,9,0.5,1
2,1,2,1,15,168,2,6,0.5,0
2,0,1,1,23,89,0,4,0.5,1
2,0,1,3,250,95,0,9,0.5,1
2,2,0,2,204,180.9,1,10,0.5,1
2,0,1,3,12,77.57,1,9,0.5,0
2,0,2,0,111,58,1,3,0.5,0
1,0,1,0,18,85,0,2,0.5,0
3,0,0,4,61,159.3,1,6,0.5,1
2,0,1,2,15,97,0,2,0.5,0
2,0,0,2,377,115,1,10,0.5,1
2,0,2,5,116,104.14,1,3,0.5,0
2,0,1,3,70,89.25,0,4,0.5,1
2,0,2,2,143,96.3,0,8,0.5,1
1,0,0,2,5,95,0,10,0.5,0
2,0,6,15,17,75.66,0,12,0.5,0
2,0,0,3,150,90,1,6,0.5,0
2,0,0,1,88,131.4,2,8,0.5,0
2,0,0,5,140,70,0,12,0.5,0
2,0,0,3,66,106.5,1,11,0.5,0
2,0,0,1,2,116.27,1,7,0.5,0
2,0,2,0,30,109.1,1,9,0.5,0
2,0,2,1,82,60,1,12,0.5,0
1,0,0,1,43,75,0,10,0.5,0
1,0,0,1,0,97,1,3,0.5,0
1,0,2,0,4,82.9,1,1,0.5,0
1,0,1,2,219,76.67,0,9,0.5,0
1,0,1,3,33,143.28,0,11,0.5,0
2,0,2,2,2,90,2,8,0.5,0
2,0,0,5,140,70,0,12,0.5,0
2,0,2,4,49,106.25,1,3,0.5,0
2,0,2,5,163,96.88,0,9,0.5,0
2,0,0,3,29,118,0,12,0.5,0
2,0,0,4,91,60.5,0,12,0.5,0
2,0,0,2,112,65.83,1,4,0.5,0
2,0,2,2,180,85,0,11,0.5,1
2,0,2,1,131,132.3,0,10,0.5,1
2,0,1,1,66,105.3,1,4,0.5,0
2,0,1,1,66,89.75,0,6,0.5,0
2,1,0,2,26,145,2,4,0.5,0
2,0,0,2,257,101.5,0,7,0.5,1
3,0,2,3,126,130.05,2,7,0.5,0
3,0,0,2,1,179,1,6,0.5,0
1,0,0,1,2,109.65,0,10,0.5,0
2,0,0,3,3,161.33,2,9,0.5,0
2,0,2,2,134,109.65,1,6,0.5,0
2,0,2,0,210,96.3,2,7,0.5,1
2,0,1,1,24,79.2,0,6,0.5,0
1,0,2,5,1,88,2,8,0.5,0
2,0,2,2,4,61.5,2,12,0.5,0
3,0,0,2,219,152.99,1,8,0.5,1
2,0,1,3,22,119.25,3,9,0.5,0
2,0,0,1,21,165,1,5,0.5,0
2,0,0,5,128,132.3,0,10,0.5,1
2,0,0,4,270,80,0,4,0.5,0
2,0,1,0,0,89,0,5,0.5,0
2,0,2,1,124,94.5,0,8,0.5,1
2,0,0,4,50,64.67,1,11,0.5,0
2,0,0,2,273,109,0,7,0.5,1
1,0,2,4,69,120,0,6,0.5,1
2,0,2,1,197,96.3,0,10,0.5,1
2,0,2,3,31,127.94,1,11,0.5,1
1,0,1,1,17,67,1,8,0.5,0
2,0,1,3,111,72.25,0,10,0.5,0
2,0,0,3,87,97.71,0,6,0.5,0
2,0,1,4,3,92.6,1,3,0.5,1
2,0,0,1,1,94,0,7,0.5,0
1,0,0,2,40,100.8,3,11,0.5,0
3,0,0,2,141,163.8,1,9,0.5,0
2,0,2,3,0,124.2,0,3,0.5,0
2,0,2,5,102,46.66,0,7,0.5,0
1,0,4,7,4,106,0,2,0.5,0
1,0,0,2,27,139,1,10,0.5,0
2,0,0,1,14,65,0,4,0.5,0
2,0,2,2,87,80.75,2,4,0.5,0
2,0,0,3,17,113.33,2,10,0.5,0
2,0,2,1,65,80.75,1,10,0.5,0
2,0,1,2,158,70,0,3,0.5,0
2,2,2,3,252,163.63,1,8,0.5,1
1,0,1,2,17,102.15,0,5,0.5,1
2,1,1,3,230,72.75,1,8,0.5,0
2,0,0,1,12,58,0,1,0.5,0
2,0,2,3,17,95,1,10,0.5,0
2,0,0,2,57,101.52,0,9,0.5,0
2,0,0,2,102,101.5,0,10,0.5,1
2,2,0,3,199,168.3,1,7,0.5,1
